;;
;;
;;
;BOOKING;Comptabilité
Code Appartement;Code BOOKING Annonce;Code Comptable
P08-MER21-0G;3015679;MER21-0G
P01-STD97-1G;3788679;STD97-1G
P08-ROY15-5D;3788716;ROY15-5D
P08-ROY15-6D;3774849;ROY15-6D
P02-ABO52-0D;3788752;ABO52-0D
P02-ABO52-1F;3788797;ABO52-1F
P02-ABO52-2G;3788783;ABO52-2G
P02-ABO52-2D;3788669;ABO52-2D
P01-RAM80-1G;4605178;RAM80-1G
P02-ABO69-1D;5027650;ABO69-1D
P02-ABO69-2D;5013285;ABO69-2D
P03-ARC74-0G;5042200;ARC74-0G
P07-LAB77-0D;5428307;LAB77-0D
P01-SEB23-3F;5746171;SEB23-3F
P01-SEB23-3G;5746191;SEB23-3G
P01-VAL1B-1G;5726767;VAL1B-1G
P02-ETI16-2F;5726827;ETI16-2F
P02-ETI16-2D;5913498;ETI16-2D
P15-LAO4-0G;6279727;LAO4-0G
P01-VIC18-2G;5105458;VIC18-2G
P08-PON48-1D;6698991;PON48-1D
P08-PON48-1G;6698916;PON48-1G
P02-REA110-2F;8006661;REA110-2F
P02-REA110-2G;8008170;REA110-2G
P03-CHA73-0D;10627100;CHA73-0D
P04-LOU18-0D;8396274;LOU18-0D
P03-MAR181-1G;9821659;MAR181-1G
P03-MAR181-2G;9281073;MAR181-2G
P07-BAC116-1G;10209384;BAC116-1G
P07-BAC116-1D;10209443;BAC116-1D
P08-FLO13-1F;9592592;FLO13-1F
P08-FLO13-1G;9592609;FLO13-1G
P02-VOL18-2G;10013077;VOL18-2G
P02-VOL18-2D;10013066;VOL18-2D
P03-OUR12-1G;10811114;OUR12-1G
P03-OUR12-1D;10812680;OUR12-1D
P02-ABO108-2G;8912175;ABO108-2G
P04-ANT10-1G;8630313;ANT10-1G
P04-ANT10-2G;8628894;ANT10-2G
P08-BOI41-2D;10812807;BOI41-2D
P02-QUA24-4F;9305185;QUA24-4F
P02-QUA24-4D;9302008;QUA24-4D
P08-MON58-0F;L'appartement n'est pas lancé;MON58-0F
P08-MON58-0G;9592617;MON58-0G
P01-OPE18-4D;9743461;OPE18-4D
P01-OPE18-4G;9743490;OPE18-4G
P01-MTM13-2G;12486053;MTM13-2G
P02-SEN18-3D;8935415;SEN18-3D
P01-JJR27-1F;8935631;JJR27-1F
P15-DES3-5F;13757247;DES3-5F
P02-CLE7-0D;8936250;CLE7-0D
P03-SEB44-1D;8891011;SEB44-1D
P16-GRA41-1G;8668004;GRA41-1G
P10-POI8-1D;10627114;POI8-1D
P08-HAU152-0G;9283785;HAU152-0G
P08-HAU152-0D;9142276;HAU152-0D
P02-ABO58-1D;8891875;ABO58-1D
P02-SEN18-2G;8943847;SEN18-2G
P08-MOL3-0G;8931850;MOL3-0G
P09-GOD9-2F;10834518;GOD9-2F
P03-TBG77-1D;8932967;TBG77-1D
P02-NDV14-1D;8888141;NDV14-1D
P02-ABO94-1D;11940743;ABO94-1D
P08-CAS6-1D;8990613;CAS6-1D
P08-TIL14-5G;8932411;TIL14-5G
P02-STD250-1D;8890731;STD250-1D
P09-GOD24-0F;9283763;GOD24-0F
P09-ROU14-1G;10047460;ROU14-1G
P09-ROU14-1D;10047431;ROU14-1D
P01-ETI39-1F;9960200;ETI39-1F
P03-MAR359-1F;9607791;MAR359-1F
P03-MAR359-1G;9607816;MAR359-1G
P01-THE13-1D;9934779;THE13-1D
P01-RIV85-1G;9416623;RIV85-1G
P03-MAR326-3D;9283805;MAR326-3D
P03-MAR326-3G;9295799;MAR326-3G
P02-POC5-3F;9416539;POC5-3F
P08-WAG20-0G;9295786;WAG20-0G
P11-PEL8-0D;9315439;PEL8-0D
P02-DAL40-1D;9333497;DAL40-1D
P09-CAR7-0G;9626274;CAR7-0G
P02-CAI31-2D;12167482;CAI31-2D
P15-VIA29-1F;9698585;VIA29-1F
P15-VIA29-1G;9698533;VIA29-1G
P09-CAU28-2G;9698873;CAU28-2G
P09-CAU28-2D;9698836;CAU28-2D
P15-FIN6-6F;10290077;FIN6-6F
P15-FIN6-6;L'appartement n'est pas lancé;FIN6-6
P08-FRA12-1G;9825271;FRA12-1G
P05-MNG118-1D;10668724;MNG118-1D
P03-REP23-1D;10957899;REP23-1D
P08-TRN13-0F;10290113;TRN13-0F
P02-ANN46-3G;10698165;ANN46-3G
P04-MAR135-2F;10946639;MAR135-2F
P11-RIC75-0D;11641300;RIC75-0D
P11-RIC75-0G;11572426;RIC75-0G
P11-RIC75-0F;11641125;RIC75-0F
P01-CHE6-3F;11046773;CHE6-3F
P11-FSA33-2D;10725315;FSA33-2D
P02-MIC18-4F;11120381;MIC18-4F
P03-BSD9-1F;12547787;BSD9-1F
P09-RIE20-2D;L'appartement n'est pas lancé;RIE20-2D
P09-RIE20-2D;L'appartement n'est pas lancé;RIE20-2D
P16-KLE40-2F;11750569;KLE40-2F
P05-BOU40-0G;11120021;BOU40-0G
P02-PAL7-1D;11116482;PAL7-1D
P02-CAI12-3D;L' appartement n'est pas lancé;CAI12-3D
P08-HOC16-7G;11140419;HOC16-7G
P09-BAT14-1;L' appartement n'est pas lancé;BAT14-1
P07-GRE168-0G;12362928;GRE168-0G
P07-GRE168-0D;12363000;GRE168-0D
P08-MRI16-0D;12586004;MRI16-0D
P02-BRS1-5F;;BRS1-5F
P02-BRS1-5D;;BRS1-5D
P17-GOU71-3D;12905155;GOU71-3D
P03-TBG52-1G;12621277;TBG52-1G
P03-TBG52-1G;12621239;TBG52-1G
P02-CAI31-3D;12167523;CAI31-3D
P06-VAU114-0G;;
P09-ROU14-4G;12590527;ROU14-4G
P07-BGO41-0F;13730385;BGO41-0F
P03-ARC77-2G;;ARC77-2G
P17-GOU71-2D;12827522;GOU71-2D
P15-VIA1-2G;;VIA1-2G
P03-TUR64-1D;13730199;TUR64-1D
P15-VIA29-1D;;VIA29-1D
P03-BRA4-2G;13757739;BRA4-2G
N92-DUL16-1F;3544447;DUL16-1F
N92-DUL16-2F;;
N92-DUL16-3F;;
P15-DES3-5G;13730638;DES3-5G
P15-DES3-5F;;DES3-5F
P17-ALF6-4F;13729996;ALF6-4F
P08-ROY21-5G;;
;;FRE17B-2F