;;;1;2;;;;;
P08-TIL14-5G;Cosy 4 bedrooms with Balcony - Champs Elysees;TIL14-5G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite - Eiffel Tower terrace;411Website;411MARRIOTT
P02-STD250-1D;Cosy 2 bedrooms apartment with bathrooms - Louvre;STD250-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Marais - Saint Denis II;411Website;411MARRIOTT
P09-GOD24-0F;Cosy 3 bedrooms Townhouse Louvre & Champs-Elysees;GOD24-0F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Opera - Mauroy II;411Website;411MARRIOTT
P09-ROU14-1G;Luxury 2 Bedroom & 2 Bathroom Apartment - Louvre;ROU14-1G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Opera - Rougemont I;411Website;411MARRIOTT
P09-ROU14-1D;Luxury 3 Bedroom & 3,5 Bathroom Apartment - Louvre;ROU14-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Opera - Rougemont II;411Website;411MARRIOTT
P01-ETI39-1F;Luxury 5 Bedroom 4 Bathroom - Louvre & Notre Dame;ETI39-1F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Louvre - Marcel III;411Website;411MARRIOTT
P03-MAR359-1F;Cosy 3 Bedrooms Apartment - 2 Bathrooms - Marais;MAR359-1F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Family Suite - Marais - Martin III;411Website;411MARRIOTT
P03-MAR359-1G;Cosy 2 Bedrooms with 1 Bathroom - Marais;MAR359-1G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Marais - Saint Martin IV;411Website;411MARRIOTT
P01-THE13-1D;Luxury 4 bedroom 4 bathroom Apartment - Louvre;THE13-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Louvre - Therese;411Website;411MARRIOTT
P01-RIV85-1G;Cosy 3 bedroom & 2 bathroom apartment - Louvre;RIV85-1G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Louvre -Rivoli;411Website;411MARRIOTT
P03-MAR326-3D;Cosy 2 bedrooms 1 bathroom apartment - Le Marais;MAR326-3D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Marais - Saint Martin V;411Website;411MARRIOTT
P03-MAR326-3G;Cosy 2 bdr1 bthr apartment- Le Marais / Pompidou;MAR326-3G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Marais - Saint Martin VI;411Website;411MARRIOTT
P02-POC5-3F;Cosy 5 Bedrooms and 2 Bathrooms - Le Marais;POC5-3F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Family Suite - Marais - Ponceau;411Website;411MARRIOTT
P08-WAG20-0G;Cosy 2 bedrooms 1 bathroom apartment - Monceau;WAG20-0G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Family Suite - Champs Elysees - Wagram;411Website;411MARRIOTT
P11-PEL8-0D;Cosy 7 Bedrooms 3 bathrooms  Le Marais;PEL8-0D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Family Suite - Marais - Pelee;411Website;411MARRIOTT
P02-DAL40-1D;Cosy 2 bedroom with 1 bathroom-Opera;DAL40-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE; Merveil - Family Suite - Louvre - Dalayrac;411Website;411MARRIOTT
P09-CAR7-0G;Cosy 3 bedroom and 2 Bathroom - Opera;CAR7-0G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Family Suite - Opera - Cardinal Mercier;411Website;411MARRIOTT
P02-CAI31-2D;Luxury 3 Bedroom 2 Bathroom Suite - Louvre Marais;CAI31-2D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Marais - Caire I;411Website;411MARRIOTT
P15-VIA29-1F;Cosy 2 bedroom - Eiffel Tower;VIA29-1F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Tour Eiffel - Viala II;411Website;411MARRIOTT
P15-VIA29-1G;Cosy 3 bedroom 2 bathroom - Eiffel Tower;VIA29-1G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Tour Eiffel - Viala I;411Website;411MARRIOTT
P09-CAU28-2G;Cosy 3 bedroom 2 bathroom - Louvre;CAU28-2G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Family Suite - Opera - Caumartin I;411Website;411MARRIOTT
P09-CAU28-2D;Cosy 2 bedroom 1 bathroom - Louvre;CAU28-2D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Opera - Caumartin II;411Website;411MARRIOTT
P15-FIN6-6F;Cozy 5 Bedroom & 3 Bathroom - Eiffel Tower;FIN6-6F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Tour Eiffel - Finlay;411Website;411MARRIOTT
P15-FIN6-6;;FIN6-6;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;;411Website;411MARRIOTT
P08-FRA12-1G;Cosy 4 Bedrooms 2 Bathr Apartment - Champs Elysées;FRA12-1G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Champs Elysees - Roosevelt;411Website;411MARRIOTT
P05-MNG118-1D;Luxury 2 Bedroom - Notre Dame;MNG118-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Notre Dame - Monge;411Website;411MARRIOTT
P03-REP23-1D;Luxury 5 Bedroom 3 bathroom - Marais Monument View;REP23-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Marais - Republique;411Website;411MARRIOTT
P08-TRN13-0F;Cosy 3 bedroom & 2 bathroom Apartment - Opera;TRN13-0F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Opera - Turin;411Website;411MARRIOTT
P02-ANN46-3G;Cosy 6 Bedroom & 3 bathroom Apartment - Louvre;ANN46-3G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Family Suite - Louvre - Sainte Anne;411Website;411MARRIOTT
P04-MAR135-2F;Luxury 3 Bedroom & 3 Bathroom - Marais & Louvre;MAR135-2F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil Luxury Suite - Martin VII - Museum view;411Website;411MARRIOTT
P11-RIC75-0D;Luxury 2 Bedroom & 1 Bathroom Suite - Marais;RIC75-0D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Marais - Lenoir III;411Website;411MARRIOTT
P11-RIC75-0G;Luxury 3 Bedroom & 2 Bathroom Apartment - Marais;RIC75-0G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Marais - Lenoir II;411Website;411MARRIOTT
P11-RIC75-0F;Luxury 2 Bedroom & 2 Bathroom Apartment - Marais;RIC75-0F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Marais - Lenoir I;411Website;411MARRIOTT
P01-CHE6-3F;Luxury 3 Bdr & 3 Bthr - Champs Elysees & Louvre;CHE6-3F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Champs Elysees -St George;411Website;411MARRIOTT
P11-FSA33-2D;Cosy 5 bedroom & 2 bathroom - Marais;FSA33-2D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Family Suite - Marais - Fbg St Antoine;411Website;411MARRIOTT
P02-MIC18-4F;Luxury 4 Bedroom & 3 Bathroom Apartment - Louvre;MIC18-4F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Louvre - Michodiere;411Website;411MARRIOTT
P03-BSD9-1F;Luxury 4 Bedroom & 3 Bathroom Suite - Opéra Marais;BSD9-1F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite -Marais - Bvd Saint Denis;411Website;411MARRIOTT
P09-RIE20-2D;;RIE20-2D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;;411Website;411MARRIOTT
P09-RIE20-2D;;RIE20-2D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;;411Website;411MARRIOTT
P16-KLE40-2F;Luxury 6 Bedroom & 5 Bathroom - Champs Elysees;KLE40-2F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite - Champs Elysees -Kleber;411Website;411MARRIOTT
P05-BOU40-0G;Luxury 2 Bedroom & 2 Bathroom - Notre Dame;BOU40-0G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Notre Dame - Boulangers;411Website;411MARRIOTT
P02-PAL7-1D;Luxury 4 Bedroom 3 Bathroom - Louvre & Marais;PAL7-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Louvre - Palestro;411Website;411MARRIOTT
P02-CAI12-3D;;CAI12-3D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;;411Website;411MARRIOTT
P08-HOC16-7G;Luxury 7Br Champs-Elysees Eiffel Tower view;HOC16-7G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil Signature Suite Hoche - Eiffel Tower view;411Website;411MARRIOTT
P09-BAT14-1;L'appartement n'est pas lancé;BAT14-1;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Opera - Bateliere;411Website;411MARRIOTT
P07-GRE168-0G;Luxury 5 Bedroom & 5 Bathroom Suite - Eiffel Tower;GRE168-0G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite -Tour Eiffel- Grenelle I;411Website;411MARRIOTT
P07-GRE168-0D;Luxury 3 Bedroom & 2 Bathroom Suite - Eiffel Tower;GRE168-0D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite -Tour Eiffel-Grenelle II;411Website;411MARRIOTT
P08-MRI16-0D;Luxury 2 Bedroom & 2 Bathroom Suite-Champs-Elysees;MRI16-0D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite-Champs Elysees- Marignan;411Website;411MARRIOTT
P02-BRS1-5F;L'appartement n'est pas lancé;BRS1-5F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Louvre - Bourse I;411Website;411MARRIOTT
P02-BRS1-5D;L'appartement n'est pas lancé;BRS1-5D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Louvre - Bourse II;411Website;411MARRIOTT
P17-GOU71-3D;L'appartement n'est pas lancé;GOU71-3D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil Signature Suite - Cyr II - Private terrace;411Website;411MARRIOTT
P03-TBG52-1G;Luxury 3 Bedroom & 3 Bathroom apartment Le Marais;TBG52-1G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Marais - Turbigo II;411Website;411MARRIOTT
P03-TBG52-1G;Luxury 2 Bedroom & 2 Bathroom apartment Le Marais;TBG52-1G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite - Marais -Turbigo III;411Website;411MARRIOTT
P02-CAI31-3D;Luxury 5 bedroom design apartment - Louvre Marais;CAI31-3D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite - Marais - Caire II;411Website;411MARRIOTT
P06-VAU114-0G;;;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;;411Website;411MARRIOTT
P09-ROU14-4G;Luxury 4 Bedroom & 4,5 Bathroom Apartment - Louvre;ROU14-4G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite - Opera - Rougemont III;411Website;411MARRIOTT
P07-BGO41-0F;L'appartement n'est pas lancé;BGO41-0F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite -Tour Eiffel- Bourgogne;411Website;411MARRIOTT
P03-ARC77-2G;Luxury 6 Bedroom & 6 Bathroom apartment - Marais;ARC77-2G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite - Marais - Archives II;411Website;411MARRIOTT
P17-GOU71-2D;L'appartement n'est pas lancé;GOU71-2D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Champs Elysees - St Cyr I;411Website;411MARRIOTT
P15-VIA1-2G;L'appartement n'est pas lancé;VIA1-2G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Tour Eiffel - Viala II;411Website;411MARRIOTT
P03-TUR64-1D;L'appartement n'est pas lancé;TUR64-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Marais - Turenne;411Website;411MARRIOTT
P15-VIA29-1D;L'appartement n'est pas lancé;VIA29-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite - Tour Eiffel - Viala IV;411Website;411MARRIOTT
P03-BRA4-2G;L'appartement n'est pas lancé;BRA4-2G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite - Marais - Braque;411Website;411MARRIOTT
N92-DUL16-1F;L'appartement n'est pas lancé;DUL16-1F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Champs Elysees - Dulud I;411Website;411MARRIOTT
N92-DUL16-2F;L'appartement n'est pas lancé;;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Champs Elysees - Dulud II;411Website;411MARRIOTT
N92-DUL16-3F;L'appartement n'est pas lancé;;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Champs Elysees -Dulud III;411Website;411MARRIOTT
P15-DES3-5G;L'appartement n'est pas lancé;DES3-5G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite - Tour Eiffel - Desaix I;411Website;411MARRIOTT
P15-DES3-5F;L'appartement n'est pas lancé;DES3-5F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite - Tour Eiffel -Desaix II;411Website;411MARRIOTT
P17-ALF6-4F;L'appartement n'est pas lancé;ALF6-4F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Champs Elysees - Roll;411Website;411MARRIOTT
P08-ROY21-5G;;;;411BOOKING;;;;;
;;FRE17B-2F;;411BOOKING;;;Merveil - Luxury Suite - Tour Eiffel - Fremicourt;;